Name	ID	Transect	Topography	Elevation	Long	Lat	PPT_At	PPT_Sm	PPT_Sp	PPT_Wt	Tmax_At	Tmax_Sm	Tmax_Sp	Tmax_Wt	Tmin_At	Tmin_Sm	Tmin_Sp	Tmin_Wt	H_Index	PC1	Pg.03r201021s000001_527438_G	Pg.03r201021s000001_527441_C	Pg.03r201021s000001_527450_C	Pg.03r201021s000001_527476_G	Pg.03r201021s000001_527484_G	Pg.03r201021s000001_527580_T	Pg.03r201021s000001_527585_T	Pg.03r201021s000001_527769_A	Pg.03r201021s000001_527789_A	Pg.03r201021s000001_1243804_G	Pg.03r201021s000001_1243887_A	Pg.03r201021s000001_1243909_G	Pg.03r201021s000001_1243910_C	Pg.03r201021s000001_1243980_T	Pg.03r201021s000001_1243981_A	Pg.03r201021s000001_1244116_A	Pg.03r201021s000001_1244125_T	Pg.03r201021s000001_1244179_G	Pg.03r201021s000001_1244230_T	Pg.03r201021s000001_1244266_T	Pg.03r201021s000001_1244270_A	Pg.03r201021s000001_1244273_A	Pg.03r201021s000001_1244308_T	Pg.03r201021s000001_1244375_A	Pg.03r201021s000001_1244389_G	Pg.03r201021s000001_1244396_A	Pg.03r201021s000001_1244398_C	Pg.03r201021s000001_1814892_C	Pg.03r201021s000001_1814971_A	Pg.03r201021s000001_1814993_T	Pg.03r201021s000001_1814995_T
CAL_105502_P001_WG01	 2.1.5	5.Cascade	N	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	0.0492437	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	NA	0	0	0	0	0	0	1	1	0	1
CAL_105502_P001_WG02	 3.3.5	3.Bell	S	High	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	-0.00794497	0	2	0	1	NA	1	1	2	2	NA	0	0	2	0	1	1	0	0	2	0	0	0	2	0	0	0	0	2	1	0	NA
CAL_105502_P001_WG03	 4.1.13	6.Canmore	N	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	0.0154779	NA	NA	NA	NA	NA	2	0	NA	0	2	1	0	1	NA	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	2	0	0
CAL_105502_P001_WG04	 7.1.9	7.Yates	S	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0512001	0	0	2	0	2	1	1	2	2	2	0	0	1	1	1	1	0	1	1	NA	NA	0	1	0	1	1	1	NA	0	0	2
CAL_105502_P001_WG05	 2.1.13	5.Cascade	N	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	0.00871357	2	2	0	2	0	1	1	1	1	NA	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CAL_105502_P001_WG06	 3.3.9	3.Bell	S	High	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	-0.0420613	NA	NA	NA	2	0	2	2	2	2	NA	0	0	1	0	1	2	0	0	2	0	0	0	NA	0	0	0	0	2	0	0	2
CAL_105502_P001_WG07	 4.1.9	6.Canmore	N	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.021295	0	2	0	2	0	2	1	NA	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	NA	2	0	2	0	0	2
CAL_105502_P001_WG08	 4.3.9	6.Canmore	Valley	Low	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0900012	2	2	0	2	0	2	2	2	2	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	2
CAL_105502_P001_WG09	 4.3.1	6.Canmore	Valley	Low	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0273907	2	2	0	2	NA	1	1	1	1	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	2
CAL_105502_P001_WG10	 9.3.13	2.Cathedral	N	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0515348	NA	NA	NA	NA	2	1	1	2	2	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	NA	NA	NA	0	NA	0	NA
CAL_105502_P001_WG11	 2.1.9	5.Cascade	N	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	0.0504241	NA	NA	0	2	0	2	2	2	2	2	0	0	2	0	2	2	0	0	2	0	0	0	2	0	0	0	0	2	0	0	2
CAL_105502_P001_WG12	 4.3.5	6.Canmore	Valley	Low	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0685904	1	1	1	NA	NA	1	1	1	NA	0	1	0	1	1	1	NA	0	0	1	0	0	1	1	0	0	0	0	NA	0	1	1
CAL_105502_P001_WH01	 1.1.1	4.Norquay	N	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0477649	NA	NA	NA	NA	2	1	1	1	1	0	2	0	0	NA	0	0	0	1	NA	0	0	0	1	0	0	0	0	2	0	0	2
CAL_105502_P001_WH02	 4.1.5	6.Canmore	N	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	0.0370632	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	2	0	0	2	0	0
CAL_105502_P001_WH03	 6.3.1	8.Old Baldy	Valley	Low	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	-0.0781089	2	2	0	2	0	2	2	2	2	1	0	0	1	0	1	1	0	0	2	0	0	0	1	0	0	1	0	0	0	1	1
CAL_105502_P001_WH04	 4.2.9	6.Canmore	S	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0704613	NA	NA	NA	2	0	1	1	2	2	2	2	0	0	1	0	0	0	0	0	0	0	0	1	0	NA	0	0	NA	0	0	2
CAL_105502_P001_WH05	 1.3.13	4.Norquay	Valley	Low	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	-0.0893571	0	1	0	NA	0	2	1	2	2	1	0	0	2	1	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	2	0	0	2
CAL_105502_P001_WH06	 3.2.5	3.Bell	N	High	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	0.049777	0	0	2	0	2	NA	0	0	0	NA	2	0	0	NA	0	0	0	1	1	0	0	2	0	0	0	0	0	NA	2	0	0
CAL_105502_P001_WH07	 6.1.1	8.Old Baldy	N	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.0391023	0	0	0	0	0	NA	0	2	2	0	2	0	0	2	0	0	0	0	0	1	1	0	0	0	2	2	2	0	2	0	0
CAL_105502_P001_WH08	 3.3.1	3.Bell	S	High	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	0.0520954	0	0	2	0	2	1	0	1	1	0	1	0	1	1	0	0	0	0	1	NA	NA	0	0	0	2	2	1	0	2	0	0
CAL_105502_P001_WH09	 8.3.5	1.Emerald	Valley	Low	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0311703	0	0	2	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1
CAL_105502_P001_WH10	 3.2.9	3.Bell	N	High	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	0.056661	0	0	0	2	0	0	0	2	2	0	NA	0	0	1	0	0	1	0	1	0	1	0	0	0	1	NA	1	0	0	2	0
CAL_105502_P001_WH11	 9.1.1	2.Cathedral	Valley	Low	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0416478	NA	NA	NA	NA	NA	0	0	1	1	0	2	1	0	NA	0	NA	1	0	1	1	1	0	0	0	1	2	1	0	NA	0	NA
CAL_105502_P001_WH12	 8.3.13	1.Emerald	Valley	Low	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0321148	0	0	1	0	2	0	0	0	0	0	2	0	0	2	0	NA	0	0	NA	0	0	1	0	0	0	0	0	0	0	NA	0
CAL_105502_P002_WA01	 9.3.10	2.Cathedral	N	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0492881	NA	NA	NA	NA	0	2	0	0	0	NA	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1
CAL_105502_P002_WA02	 7.2.6	7.Yates	N	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0026709	0	0	0	0	0	2	0	2	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	1	NA
CAL_105502_P002_WA03	 9.3.6	2.Cathedral	N	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0426758	NA	NA	NA	0	2	0	0	0	0	NA	2	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	NA	0	2	0	0
CAL_105502_P002_WA04	 9.2.6	2.Cathedral	S	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0198327	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	1	0	0
CAL_105502_P002_WA05	 1.1.2	4.Norquay	N	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0418985	NA	NA	NA	NA	NA	1	1	2	2	NA	0	0	2	0	2	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	1
CAL_105502_P002_WA06	 8.2.2	1.Emerald	N	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0558073	0	0	2	0	2	0	0	1	1	NA	1	0	1	1	0	0	0	1	1	1	1	0	1	2	0	0	0	0	2	0	0
CAL_105502_P002_WA07	 9.3.2	2.Cathedral	N	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0323477	NA	NA	NA	0	0	2	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1
CAL_105502_P002_WA08	 7.2.3	7.Yates	N	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	0.0233789	0	0	0	2	0	2	1	2	2	2	1	1	1	1	0	0	1	1	1	1	1	0	0	NA	0	0	0	0	2	0	0
CAL_105502_P002_WA09	 4.2.10	6.Canmore	S	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0801998	0	2	0	NA	NA	1	1	1	1	0	0	0	1	0	1	1	0	0	2	0	0	0	1	0	0	1	0	1	0	1	1
CAL_105502_P002_WA10	 3.1.6	3.Bell	Valley	Low	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	-0.0493687	0	2	0	2	0	2	2	2	2	2	0	0	2	0	2	2	0	0	2	0	0	0	2	0	0	0	0	1	0	0	2
CAL_105502_P002_WA11	 4.2.6	6.Canmore	S	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0544194	0	0	1	0	1	1	0	0	0	2	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	NA	2	0	1
CAL_105502_P002_WA12	 6.2.14	8.Old Baldy	S	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.0516517	0	0	0	0	0	NA	0	NA	NA	2	1	1	1	1	0	0	NA	1	1	0	1	0	0	0	1	1	0	0	1	1	0
CAL_105502_P002_WB01	 8.1.10	1.Emerald	S	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0572846	0	0	2	0	2	0	0	0	0	NA	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	2	0
CAL_105502_P002_WB02	 8.2.6	1.Emerald	N	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0494578	0	0	1	1	1	0	0	1	1	0	2	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0
CAL_105502_P002_WB03	 7.2.19	7.Yates	N	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0242152	0	0	1	0	1	1	0	1	0	1	1	0	1	NA	0	0	0	1	0	1	1	0	0	0	1	1	1	NA	0	2	0
CAL_105502_P002_WB04	 4.2.14	6.Canmore	S	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.058104	NA	NA	NA	NA	NA	1	1	NA	NA	0	2	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	2	0	0	2
CAL_105502_P002_WB05	 8.3.6	1.Emerald	Valley	Low	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0273466	NA	NA	NA	NA	NA	0	0	2	2	0	1	NA	NA	1	0	0	1	NA	NA	0	0	0	0	0	0	0	0	2	0	NA	NA
CAL_105502_P002_WB06	 9.1.2	2.Cathedral	Valley	Low	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0355897	0	0	1	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	NA
CAL_105502_P002_WB07	 8.3.10	1.Emerald	Valley	Low	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0177809	0	1	0	1	NA	1	1	1	0	NA	NA	0	1	1	1	2	0	0	1	0	0	1	1	0	NA	NA	NA	1	0	0	2
CAL_105502_P002_WB08	 7.1.6	7.Yates	S	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0950025	NA	NA	NA	NA	NA	2	1	1	1	1	1	0	1	1	0	0	0	NA	NA	0	0	0	0	0	1	0	0	2	0	0	2
CAL_105502_P002_WB09	 1.1.10	4.Norquay	N	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0524087	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
CAL_105502_P002_WB10	 9.2.14	2.Cathedral	S	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0405201	0	0	2	0	1	1	0	0	0	0	2	0	NA	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
CAL_105502_P002_WB11	 8.3.14	1.Emerald	Valley	Low	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.018288	0	0	0	2	0	NA	NA	1	1	NA	1	0	1	1	NA	0	0	1	1	1	1	0	0	0	2	2	2	0	2	0	0
CAL_105502_P002_WB12	 7.1.2	7.Yates	S	High	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0189777	0	1	1	1	1	NA	NA	1	2	0	1	0	1	1	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1
CAL_105502_P002_WC01	 4.3.10	6.Canmore	Valley	Low	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0905728	2	2	0	2	0	NA	NA	1	1	2	0	0	2	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2
CAL_105502_P002_WC02	 9.1.6	2.Cathedral	Valley	Low	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0392277	NA	0	0	2	0	2	0	1	2	NA	NA	NA	NA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	0
CAL_105502_P002_WC03	 1.3.6	4.Norquay	Valley	Low	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	-0.0687766	2	2	1	1	1	2	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	NA	0	0	NA	0	0	1	0	1
CAL_105502_P002_WC04	 9.3.14	2.Cathedral	N	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0504377	NA	NA	NA	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0
CAL_105502_P002_WC05	 2.1.10	5.Cascade	N	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	0.0420845	0	0	1	1	1	1	0	NA	1	0	NA	0	0	NA	0	0	0	0	1	1	1	0	0	0	1	2	1	0	2	0	0
CAL_105502_P002_WC06	 4.3.6	6.Canmore	Valley	Low	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0842266	1	1	1	1	1	1	1	1	1	1	NA	0	1	1	NA	1	0	1	1	1	1	0	1	0	NA	1	1	1	1	0	1
CAL_105502_P002_WC07	 1.2.14	4.Norquay	S	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0117942	NA	NA	NA	2	1	1	1	1	NA	1	1	0	1	1	1	1	0	1	NA	0	0	0	1	0	0	0	0	NA	1	0	1
CAL_105502_P002_WC08	 9.2.10	2.Cathedral	S	High	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0353543	0	0	2	0	2	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	2	0	0
CAL_105502_P002_WC09	 1.3.10	4.Norquay	Valley	Low	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	-0.0813437	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	NA	NA	1	0	0	0	0	0	0	0	1	0	1
CAL_105502_P002_WC10	 2.2.2	5.Cascade	Valley	Low	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0863012	NA	NA	NA	2	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	2	0	1
CAL_105502_P002_WC11	 4.3.2	6.Canmore	Valley	Low	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0965667	0	2	0	2	0	2	2	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2
CAL_105502_P002_WC12	 2.1.6	5.Cascade	N	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	0.0451857	NA	NA	NA	2	0	2	2	2	2	2	1	0	1	1	0	0	0	1	1	1	1	0	0	0	1	0	0	2	1	0	1
CAL_105502_P002_WD01	 3.1.2	3.Bell	Valley	Low	-116.024544	51.305969	158	182	118	187	5.699999809	17.60000038	6	-6	-5.099999905	4.199999809	-5.900000095	-17.10000038	0.548	-0.0231166	0	0	1	1	1	1	1	1	1	NA	2	0	1	1	NA	NA	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1
CAL_105502_P002_WD02	 8.1.14	1.Emerald	S	High	-116.540603	51.435322	204	247	137	262	5.099999905	16.89999962	5.5	-6.199999809	-4.800000191	4.300000191	-5.699999809	-15.80000019	0.82	0.0523911	1	1	1	NA	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1
CAL_105502_P002_WD03	 9.1.10	2.Cathedral	Valley	Low	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0164478	0	0	2	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1
CAL_105502_P002_WD04	 2.3.7	5.Cascade	S	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0313124	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	1	1	0	0	0	0	0	0	0	0	0	0	1	NA	1	1	2	0	0
CAL_105502_P002_WD05	 2.3.15	5.Cascade	S	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0544421	1	1	1	1	1	1	1	2	2	NA	NA	0	NA	0	0	0	0	1	1	1	1	0	0	NA	0	0	0	2	1	0	1
CAL_105502_P002_WD06	 6.2.6	8.Old Baldy	S	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.0450147	NA	NA	2	0	2	0	0	NA	NA	0	2	0	0	1	0	0	0	1	1	1	1	1	0	0	NA	1	1	0	0	2	0
CAL_105502_P002_WD07	 7.3.2	7.Yates	Valley	Low	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0485243	0	0	0	0	0	2	1	NA	1	2	1	0	1	1	1	1	0	NA	1	0	0	0	1	0	0	0	0	2	0	0	2
CAL_105502_P002_WD08	 2.3.3	5.Cascade	S	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.0549379	1	1	0	2	0	1	1	2	2	1	1	0	1	NA	NA	1	0	1	1	0	0	0	1	0	0	0	0	2	0	0	2
CAL_105502_P002_WD09	 1.2.6	4.Norquay	S	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0292181	0	0	2	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0
CAL_105502_P002_WD10	 6.2.2	8.Old Baldy	S	High	-115.131753	50.892411	107	187	161	113	7.699999809	18.10000038	6.099999905	-5	-4.400000095	4.900000095	-5.800000191	-15.89999962	0.322	0.0329106	0	0	2	0	2	0	0	0	0	NA	1	0	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	2	0	0
CAL_105502_P002_WD11	 7.3.6	7.Yates	Valley	Low	-115.053825	51.038728	118	213	177	93	9.100000381	19.5	7.800000191	-3.599999905	-3.400000095	5.599999905	-4.800000191	-15.10000038	0.0617	-0.0742917	NA	NA	0	2	0	2	1	2	NA	1	0	0	1	1	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	1	1	0	1
CAL_105502_P002_WD12	 2.3.11	5.Cascade	S	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	-0.00457876	2	2	0	2	0	2	2	2	2	2	0	0	2	0	NA	1	0	0	NA	2	2	0	0	0	2	2	2	2	0	0	2
CAL_105502_P002_WE01	 9.1.14	2.Cathedral	Valley	Low	-116.327133	51.445664	297	291	200	350	2.200000048	14.30000019	3.299999952	-7.800000191	-5.5	3.700000048	-6.699999809	-16.60000038	0.873	0.0463125	NA	NA	NA	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	NA	NA	NA	0	0	NA	NA	NA	NA	0	1	1	0
CAL_105502_P002_WE02	 1.1.6	4.Norquay	N	High	-115.586944	51.190178	81	127	89	70	7.400000095	18.39999962	6.599999905	-5	-4.5	4.599999905	-5.5	-16	0.0772	0.0333044	0	0	2	0	2	0	0	0	0	2	0	0	NA	0	1	1	0	0	2	0	0	0	1	0	0	1	0	0	2	0	0
CAL_105502_P002_WE03	 2.1.14	5.Cascade	N	High	-115.504167	51.248633	108	163	111	102	7	17.79999924	6.099999905	-5.199999809	-4.699999809	4.5	-5.800000191	-16.29999924	0.111	0.0313038	0	0	2	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0
CAL_105502_P002_WE04	 4.1.14	6.Canmore	N	High	-115.329208	51.050556	98	183	144	88	7.800000191	18.29999924	6.5	-4.800000191	-4.400000095	4.800000191	-5.5	-16	0.121	-0.0310222	1	1	1	1	1	1	1	1	1	0	2	0	0	NA	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
